Date,Mobile app names,DFP: Ad units,Ad requests,Matched requests,Coverage,Clicks,Ad request CTR,CTR,Ad CTR,CPC (US$),Ad request eCPM (US$),Matched eCPM (US$),Lift,Estimated revenue (US$),Ad impressions,Ad eCPM (US$)
3/1/2022,(Not applicable),424536528 » 1509252_StreamsforBasketballLive_Native,25,25,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.82 ,US$0.82 ,0.00%,US$0.02 ,17,US$1.21 
3/1/2022,(Not applicable),424536528 » 1509253_StreamsforBasketballLive_Interstitial,20,20,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.11 ,US$0.11 ,0.00%,US$0.00 ,20,US$0.11 
3/1/2022,(Not applicable),424536528 » 1509254_StreamsforBasketballLive_AppOpen,8,4,50.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.10 ,US$0.21 ,0.00%,US$0.00 ,4,US$0.21 
3/1/2022,(Not applicable),424536528 » 1509372_BoxingLiveStreams_Interstitial,22,22,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.14 ,US$0.14 ,0.00%,US$0.00 ,20,US$0.16 
3/1/2022,(Not applicable),424536528 » 1510126_RacingSchedule_Native,7,7,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$1.22 ,US$1.22 ,0.00%,US$0.01 ,4,US$2.13 
3/1/2022,(Not applicable),424536528 » 1510127_RacingSchedule_Interstitial,5,5,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.44 ,US$0.44 ,0.00%,US$0.00 ,4,US$0.54 
3/1/2022,(Not applicable),424536528 » 1514938_HamsterVPN_Interstitial,8,8,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$0.76 ,US$0.76 ,0.00%,US$0.01 ,3,US$2.03 
3/1/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1504270_BoxingLiveStreams_Native,25,25,100.00%,1,4.00%,4.00%,8.33%,US$0.01 ,US$0.29 ,US$0.29 ,0.00%,US$0.01 ,12,US$0.61 
3/1/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1507631_LiveFootballTVStreamingHD_Native,6,6,100.00%,0,0.00%,0.00%,0.00%,US$0.00 ,US$2.06 ,US$2.06 ,0.00%,US$0.01 ,6,US$2.06 
3/1/2022,(Not applicable),424536528 » Ad Exchange Mobile In-App » 1507632_LiveFootballTVStreamingHD_Interstitial,4,4,100.00%,1,25.00%,25.00%,25.00%,US$0.00 ,US$0.19 ,US$0.19 ,0.00%,US$0.00 ,4,US$0.19 
